Time-(numerical),Time-(readable),CPU_perc,Mem_perc,cpu_freq_MHz,disk_read_MBps,disk_write_MBps,net_sent_MBps,net_recv_MBps,trigger_ctx
1760397321.0254538,2025-10-13T18:15:21,16.1,82.9,1711.0,0.001,1.085,0.0,0.001,
1760397322.0656643,2025-10-13T18:15:22,15.6,82.9,1711.0,0.0,0.197,0.0,0.0,
1760397323.1012914,2025-10-13T18:15:23,25.2,82.8,1711.0,1.545,0.483,0.002,0.002,
1760397324.1325524,2025-10-13T18:15:24,15.5,82.8,1711.0,0.033,0.553,0.001,0.001,
1760397325.1729622,2025-10-13T18:15:25,22.2,82.8,1711.0,0.004,0.0,0.0,0.001,
1760397326.2065506,2025-10-13T18:15:26,20.3,82.5,1711.0,0.0,0.463,0.0,0.0,
1760397327.2538276,2025-10-13T18:15:27,22.4,82.6,1711.0,0.066,0.287,0.002,0.051,
1760397328.294063,2025-10-13T18:15:28,20.1,82.5,1711.0,0.016,0.373,0.0,0.0,
1760397329.3316905,2025-10-13T18:15:29,20.4,82.4,1711.0,0.0,0.0,0.001,0.004,
1760397330.365458,2025-10-13T18:15:30,22.0,82.4,1711.0,0.0,0.303,0.0,0.015,
1760397331.396232,2025-10-13T18:15:31,31.5,82.4,1711.0,0.043,0.653,0.03,0.608,
1760397332.4259155,2025-10-13T18:15:32,27.4,82.2,1711.0,0.066,0.647,0.001,0.0,
1760397333.4535084,2025-10-13T18:15:33,24.5,82.2,1711.0,0.0,0.139,0.0,0.0,
1760397334.4882498,2025-10-13T18:15:34,19.9,82.2,1711.0,0.0,0.225,0.001,0.001,
1760397335.5227523,2025-10-13T18:15:35,19.0,82.1,1711.0,0.0,0.352,0.0,0.001,
1760397336.5549974,2025-10-13T18:15:36,20.6,82.1,1711.0,0.0,0.205,0.006,0.0,
1760397337.5872712,2025-10-13T18:15:37,19.7,82.1,1711.0,0.0,0.168,0.0,0.001,
1760397338.6234171,2025-10-13T18:15:38,23.1,82.0,1711.0,0.0,0.475,0.007,0.007,
1760397339.6621552,2025-10-13T18:15:39,22.0,81.8,1711.0,0.0,0.266,0.001,0.001,
1760397340.6983347,2025-10-13T18:15:40,22.2,81.8,1711.0,0.001,0.295,0.001,0.001,
1760397341.7309625,2025-10-13T18:15:41,20.1,81.8,1711.0,0.0,0.0,0.006,0.007,
1760397342.7631452,2025-10-13T18:15:42,23.6,81.7,1711.0,0.144,0.246,0.007,0.006,
1760397343.7971814,2025-10-13T18:15:43,23.2,81.8,1711.0,0.111,0.475,0.004,0.003,
1760397344.8286383,2025-10-13T18:15:44,22.1,81.9,1711.0,0.139,1.196,0.009,0.009,
1760397345.8585308,2025-10-13T18:15:45,20.5,81.9,1711.0,0.066,0.152,0.005,0.006,
1760397346.88499,2025-10-13T18:15:46,26.3,82.1,1711.0,0.0,0.258,0.0,0.0,
